"","DIGNIDAD_CODIGO","OP_CODIGO","CANDIDATO_CODIGO","CANDIDATO_ORDEN","CANDIDATO_PROVINCIA_CODIGO","CANDIDATO_CANTON_CODIGO","CANDIDATO_PARROQUIA_CODIGO","CANDIDATO_NOMBRE","CANDIDATO_SEXO","CANDIDATO_EDAD_EXACTA","CANDIDATO_GRUPOS_DE_EDAD","SUPLENTE_NOMBRE.1","SUPLENTE_SEXO.1","SUPLENTE_EDAD_EXACTA.1","SUPLENTE_GRUPO_DE_EDAD.1","SUPLENTE_NOMBRE.2","SUPLENTE_SEXO.2","SUPLENTE_EDAD_EXACTA.2","SUPLENTE_GRUPO_DE_EDAD.2"
"11",3,7,3220000000012,2,22,0,0,"RAMOS PROAÑO MARTHA LUCRECIA                                                                       ","MUJERES",46.5710382513661,"DE 45 A MENOS DE 65 AÑOS","AÑAZCO BAQUERO CARLOS DORIAN                                                                       ","HOMBRES",48.9424657534247,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"12",5,5,5170600000030,2,17,60,0,"DEL POZO FIERRO PATRICIO DAVID                                                                      ","HOMBRES",24.6301369863014,"MENORES DE 30 AÑOS","ROMERO PAREDES GENARO                                                                               ","HOMBRES",49.4575342465753,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"13",7,17007,7170000000220,10,17,0,0,"SAMANIEGO GAIBOR GLENDA ANGELICA                                                                    ","MUJERES",33.4520547945205,"DE 30 A MENOS DE 45 AÑOS","MARTINEZ BURBANO GUSTAVO NEPTALI                                                                    ","HOMBRES",45.6493150684932,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"14",5,56,5134500000061,1,13,450,0,"TORRES CEDENO KERLLY ANNABEL                                                                        ","MUJERES",37,"DE 30 A MENOS DE 45 AÑOS","ABAD ARTEAGA VERONICA INES                                                                          ","MUJERES",29.4465753424658,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"15",5,55,5196600000009,1,19,660,0,"CABRERA JAPON GRICELDA ELITA                                                                        ","MUJERES",33.4054794520548,"DE 30 A MENOS DE 45 AÑOS","ABAD CHUQUIMARCA RAFAEL EDUARDO                                                                     ","HOMBRES",36.7753424657534,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"16",6,55,6196602110010,5,19,660,2110,"JIMENEZ GAONA MARTIN RAMON                                                                          ","HOMBRES",32.6575342465753,"DE 30 A MENOS DE 45 AÑOS","ABAD CORDERO JOSE MANUEL                                                                            ","HOMBRES",29.786301369863,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"17",5,11001,5117400000023,2,11,740,0,"CUEVA CUEVA DEICY LETICIA                                                                           ","MUJERES",25.358904109589,"MENORES DE 30 AÑOS","ABAD JIMENEZ DEICI DEL CISNE                                                                        ","MUJERES",35.7205479452055,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"18",5,56,5113400000027,3,11,340,0,"REYES SANCHEZ FAUSTO RIGOBERTO                                                                      ","HOMBRES",22.4180327868852,"MENORES DE 30 AÑOS","ABAD JIMENEZ FRANCISCO CAMILO                                                                       ","HOMBRES",40.0630136986301,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"19",5,5,5113050000007,1,11,305,0,"ESPINOZA AGUIRRE GENARO OSWALDO                                                                     ","HOMBRES",39.572602739726,"DE 30 A MENOS DE 45 AÑOS","ABAD MUNOZ HUGO DANIEL                                                                              ","HOMBRES",23.1205479452055,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"20",5,19003,5199800000010,2,19,980,0,"GONZALEZ COBOS EDGAR BLADIMIR                                                                       ","HOMBRES",27.358904109589,"MENORES DE 30 AÑOS","ABAD SOLANO EDITH VERONICA                                                                          ","MUJERES",21.4383561643836,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"21",3,6,3010000000020,4,1,0,0,"PADILLA CASTAÑEDA JAZMIN ELIZABETH                                                                 ","MUJERES",28.8356164383562,"MENORES DE 30 AÑOS","ABRIL ABRIL EVA KARINA                                                                              ","MUJERES",29.2712328767123,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
